id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
darde,Luciano Darderi,Luciano,Darderi,16,2,0.60,0.90,0.25,0.44,0.36,0.17,ITA,24,4,4,5,5
tien,Learner Tien,Learner,Tien,17,2,0.62,0.88,0.31,0.50,0.40,0.11,USA,20,10,6,4,6
mensi,Jakub Mensik,Jakub,Mensik,18,2,0.60,0.88,0.30,0.44,0.39,0.24,CZE,20,15,6,4,6
tiafo,Frances Tiafoe,Frances,Tiafoe,19,2,0.59,0.94,0.27,0.45,0.39,0.17,USA,28,15,7,8,2
vache,Valentin Vacherot,Valentin,Vacherot,20,2,0.66,0.89,0.28,0.43,0.41,0.19,MON,27,12,7,7,3
cerun,Francisco Cerundolo,Francisco,Cerundolo,21,2,0.61,0.91,0.30,0.48,0.38,0.08,ARG,27,8,4,8,2
khach,Karen Khachanov,Karen,Khachanov,22,2,0.64,0.93,0.27,0.45,0.40,0.16,RUS,30,7,7,5,5
fokin,Alejandro Davidovich Fokina,Alejandro,Davidovich Fokina,23,2,0.67,0.92,0.28,0.47,0.39,0.09,ESP,27,9,7,7,3
fils,Arthur Fils,Arthur,Fils,24,2,0.63,0.91,0.27,0.45,0.41,0.13,FRA,22,14,5,6,4
paul,Tommy Paul,Tommy,Paul,25,2,0.61,0.94,0.31,0.47,0.41,0.14,USA,29,15,7,6,4
jodar,Rafael Jodar,Rafael,Jodar,26,2,0.62,0.93,0.34,0.49,0.40,0.10,ESP,19,24,8,6,4
fonse,Joao Fonseca,Joao,Fonseca,27,2,0.67,0.92,0.29,0.44,0.41,0.14,BRA,19,4,3,4,6
rinde,Arthur Rinderknech,Arthur,Rinderknech,28,2,0.64,0.91,0.24,0.39,0.38,0.20,FRA,30,7,7,6,4
norri,Cameron Norrie,Cameron,Norrie,29,2,0.65,0.93,0.27,0.46,0.39,0.10,GBR,30,10,7,2,8
humbe,Ugo Humbert,Ugo,Humbert,30,2,0.63,0.92,0.26,0.44,0.41,0.16,FRA,28,11,9,6,4
nakas,Brandon Nakashima,Brandon,Nakashima,31,2,0.67,0.96,0.26,0.43,0.39,0.19,USA,24,10,7,6,4
