id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
fucso,Marton Fucsovics,Marton,Fucsovics,76,2,0.61,0.91,0.32,0.45,0.39,0.06,HUN,34,0,4,5,5,0
rune,Holger Rune,Holger,Rune,77,2,0.62,0.92,0.31,0.45,0.41,0.06,DEN,23,0,0,7,3,0
cazau,Arthur Cazaux,Arthur,Cazaux,78,2,0.59,0.94,0.29,0.38,0.40,0.16,FRA,23,0,0,6,4,0
duckw,James Duckworth,James,Duckworth,79,2,0.53,0.91,0.29,0.39,0.45,0.16,AUS,34,30,9,3,7,0
assch,Luca Van Assche,Luca,Van Assche,80,2,0.67,0.84,0.35,0.51,0.39,0.05,FRA,22,40,19,9,1,1
brook,Jenson Brooksby,Jenson,Brooksby,81,2,0.67,0.94,0.30,0.46,0.33,0.03,USA,25,0,9,6,4,0
hijik,Rinky Hijikata,Rinky,Hijikata,82,2,0.60,0.93,0.28,0.41,0.37,0.07,AUS,25,10,15,7,3,0
perri,Giovanni Mpetshi Perricard,Giovanni,Mpetshi Perricard,83,2,0.64,0.85,0.26,0.39,0.41,0.18,FRA,23,7,7,4,6,0
aguil,Daniel Merida Aguilar,Daniel,Merida Aguilar,84,2,0.66,0.87,0.42,0.44,0.46,0.04,ESP,21,37,17,8,2,1
walto,Adam Walton,Adam,Walton,85,2,0.63,0.97,0.26,0.42,0.31,0.10,AUS,27,2,4,6,4,0
nava,Emilio Nava,Emilio,Nava,86,2,0.65,0.90,0.34,0.42,0.39,0.12,USA,24,51,22,3,7,0
tsits,Stefanos Tsitsipas,Stefanos,Tsitsipas,87,2,0.63,0.93,0.24,0.48,0.51,0.12,GRE,27,17,7,10,0,1
diall,Gabriel Diallo,Gabriel,Diallo,88,2,0.67,0.91,0.30,0.43,0.37,0.09,CAN,24,1,6,5,5,0
prizm,Dino Prizmic,Dino,Prizmic,89,2,0.55,0.89,0.36,0.48,0.42,0.13,CRO,20,33,12,5,5,1
shima,Sho Shimabukuro,Sho,Shimabukuro,90,2,0.56,0.90,0.34,0.36,0.36,0.04,JPN,28,0,5,4,6,0
comes,Francisco Comesana,Francisco,Comesana,91,2,0.63,0.81,0.37,0.48,0.39,0.09,ARG,25,22,24,6,4,1
giron,Marcos Giron,Marcos,Giron,92,2,0.60,0.94,0.30,0.41,0.38,0.07,USA,33,7,8,6,4,0
bonzi,Benjamin Bonzi,Benjamin,Bonzi,93,2,0.65,0.94,0.32,0.42,0.36,0.06,FRA,30,6,8,5,5,0
trung,Marco Trungelliti,Marco,Trungelliti,94,2,0.60,0.84,0.34,0.54,0.38,0.07,ARG,36,43,21,5,5,1
halys,Quentin Halys,Quentin,Halys,95,2,0.57,0.89,0.26,0.38,0.50,0.28,FRA,29,26,10,9,1,1
hurka,Hubert Hurkacz,Hubert,Hurkacz,96,2,0.60,0.95,0.33,0.42,0.40,0.22,POL,29,17,7,7,3,0
spizz,Eliot Spizzirri,Eliot,Spizzirri,97,2,0.66,0.93,0.28,0.43,0.36,0.07,USA,24,0,2,5,5,0
faria,Jaime Faria,Jaime,Faria,98,2,0.59,0.87,0.30,0.39,0.41,0.16,POR,22,65,29,6,4,1
shevc,Alexander Shevchenko,Alexander,Shevchenko,99,2,0.61,0.88,0.21,0.43,0.45,0.14,KAZ,25,33,23,6,4,1
choin,Jan Choinski,Jan,Choinski,100,2,0.64,0.94,0.34,0.51,0.39,0.14,GBR,30,54,26,7,3,1
molca,Alex Molcan,Alex,Molcan,101,2,0.65,0.94,0.32,0.45,0.39,0.05,SVK,28,46,16,7,3,1
molca1,Alex Molcan,Alex,Molcan,101,2,0.65,0.94,0.32,0.45,0.39,0.05,SVK,28,46,16,7,3,1
wu,Yibing Wu,Yibing,Wu,102,2,0.55,0.92,0.34,0.48,0.42,0.07,CHN,26,23,7,8,2,0
popyr,Alexei Popyrin,Alexei,Popyrin,103,2,0.61,0.91,0.28,0.38,0.41,0.16,AUS,26,6,7,1,9,0
vukic,Aleksandar Vukic,Aleksandar,Vukic,104,2,0.58,0.94,0.29,0.45,0.35,0.11,AUS,30,4,12,10,0,0
dzumh,Damir Dzumhur,Damir,Dzumhur,105,2,0.64,0.96,0.40,0.47,0.36,0.02,BIH,34,25,28,6,4,1
damm,Martin Damm,Martin,Damm,106,2,0.58,0.85,0.23,0.43,0.41,0.22,USA,22,16,11,7,3,0
yunch,Bu Yunchaokete,Bu,Yunchaokete,107,2,0.57,0.93,0.30,0.44,0.37,0.11,CHN,24,0,2,7,3,0
wong,Chak Lam Coleman Wong,Chak,Lam Coleman Wong,108,2,0.64,0.92,0.26,0.37,0.33,0.10,HKG,22,3,7,7,3,0
wawri,Stan Wawrinka,Stan,Wawrinka,109,2,0.55,0.95,0.28,0.45,0.32,0.15,SUI,41,2,15,1,9,1
