id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
assch,Luca Van Assche,Luca,Van Assche,80,2,0.65,0.76,0.29,0.48,0.41,0.06,FRA,22,25,9,7,3,1
brook,Jenson Brooksby,Jenson,Brooksby,81,2,0.70,0.97,0.28,0.44,0.38,0.07,USA,25,10,13,4,6,1
hijik,Rinky Hijikata,Rinky,Hijikata,82,2,0.55,0.92,0.24,0.50,0.35,0.08,AUS,25,21,15,6,4,1
perri,Giovanni Mpetshi Perricard,Giovanni,Mpetshi Perricard,83,2,0.67,0.86,0.22,0.32,0.41,0.29,FRA,23,7,12,4,6,0
aguil,Daniel Merida Aguilar,Daniel,Merida Aguilar,84,2,0.61,0.89,0.29,0.47,0.37,0.09,ESP,21,20,9,7,3,1
walto,Adam Walton,Adam,Walton,85,2,0.59,0.94,0.28,0.39,0.36,0.12,AUS,27,30,22,5,5,1
nava,Emilio Nava,Emilio,Nava,86,2,0.64,0.89,0.28,0.40,0.38,0.18,USA,24,4,6,6,4,0
tsits,Stefanos Tsitsipas,Stefanos,Tsitsipas,87,2,0.56,0.88,0.25,0.43,0.36,0.22,GRE,28,15,11,6,4,1
diall,Gabriel Diallo,Gabriel,Diallo,88,2,0.67,0.88,0.27,0.41,0.38,0.17,CAN,24,7,12,4,6,0
prizm,Dino Prizmic,Dino,Prizmic,89,2,0.59,0.88,0.31,0.45,0.40,0.11,CRO,21,7,6,3,7,0
shima,Sho Shimabukuro,Sho,Shimabukuro,90,2,0.54,0.89,0.29,0.40,0.32,0.08,JPN,29,22,21,3,7,1
comes,Francisco Comesana,Francisco,Comesana,91,2,0.59,0.86,0.32,0.49,0.31,0.12,ARG,25,3,10,3,7,1
giron,Marcos Giron,Marcos,Giron,92,2,0.59,0.92,0.20,0.36,0.39,0.10,USA,33,15,13,4,6,1
bonzi,Benjamin Bonzi,Benjamin,Bonzi,93,2,0.60,0.86,0.28,0.45,0.37,0.11,FRA,30,25,16,6,4,1
trung,Marco Trungelliti,Marco,Trungelliti,94,2,0.60,0.84,0.34,0.44,0.35,0.09,ARG,36,7,7,6,4,1
