id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
tien,Learner Tien,Learner,Tien,17,2,0.61,0.87,0.27,0.45,0.37,0.11,USA,20,2,2,7,3
mensi,Jakub Mensik,Jakub,Mensik,18,2,0.63,0.89,0.28,0.40,0.35,0.25,CZE,20,1,2,6,4
tiafo,Frances Tiafoe,Frances,Tiafoe,19,2,0.61,0.92,0.23,0.47,0.42,0.13,USA,28,9,2,8,2
vache,Valentin Vacherot,Valentin,Vacherot,20,2,,,,,,0.05,MON,27,0,0,7,3
cerun,Francisco Cerundolo,Francisco,Cerundolo,21,2,0.59,0.89,0.28,0.50,0.36,0.08,ARG,27,5,1,7,3
khach,Karen Khachanov,Karen,Khachanov,22,2,0.65,0.93,0.27,0.48,0.40,0.14,RUS,30,2,2,5,5
fokin,Alejandro Davidovich Fokina,Alejandro,Davidovich Fokina,23,2,0.67,0.93,0.30,0.45,0.42,0.10,ESP,27,9,3,8,2
fils,Arthur Fils,Arthur,Fils,24,2,0.65,0.90,0.26,0.45,0.40,0.13,FRA,22,1,1,7,3
paul,Tommy Paul,Tommy,Paul,25,2,0.61,0.93,0.31,0.47,0.40,0.17,USA,29,6,2,7,3
jodar,Rafael Jodar,Rafael,Jodar,26,2,0.60,0.91,0.33,0.51,0.34,0.12,ESP,19,2,1,7,3
fonse,Joao Fonseca,Joao,Fonseca,27,2,0.71,0.93,0.28,0.46,0.36,0.12,BRA,19,2,2,6,4
rinde,Arthur Rinderknech,Arthur,Rinderknech,28,2,0.64,0.89,0.25,0.36,0.42,0.26,FRA,30,2,3,5,5
norri,Cameron Norrie,Cameron,Norrie,29,2,0.68,0.89,0.24,0.46,0.37,0.09,GBR,30,0,2,3,7
humbe,Ugo Humbert,Ugo,Humbert,30,2,0.61,0.90,0.28,0.44,0.40,0.16,FRA,27,8,4,7,3
nakas,Brandon Nakashima,Brandon,Nakashima,31,2,0.68,0.95,0.26,0.45,0.38,0.17,USA,24,4,2,6,4
etche,Tomas Martin Etcheverry,Tomas,Martin Etcheverry,32,2,0.66,0.94,0.21,0.43,0.35,0.13,ARG,26,0,3,3,7
tabil,Alejandro Tabilo,Alejandro,Tabilo,33,2,0.63,0.90,0.21,0.40,0.33,0.12,CHI,29,0,3,4,6
buse,Ignacio Buse,Ignacio,Buse,34,2,0.65,0.93,0.26,0.44,0.35,0.05,PER,22,3,3,6,4
arnal,Matteo Arnaldi,Matteo,Arnaldi,35,2,0.59,0.89,0.21,0.48,0.35,0.13,ITA,25,2,2,7,3
block,Alexander Blockx,Alexander,Blockx,36,2,0.62,0.89,0.22,0.44,0.38,0.13,BEL,21,0,1,7,3
bergs,Zizou Bergs,Zizou,Bergs,37,2,0.60,0.85,0.32,0.45,0.38,0.16,BEL,27,7,3,7,3
navon,Mariano Navone,Mariano,Navone,38,2,0.69,0.90,0.27,0.50,0.36,0.05,ARG,25,0,2,5,5
moute,Corentin Moutet,Corentin,Moutet,39,2,0.64,0.91,0.27,0.42,0.37,0.08,FRA,27,1,4,1,9
manna,Adrian Mannarino,Adrian,Mannarino,40,2,0.62,0.93,0.29,0.48,0.37,0.10,FRA,37,5,4,5,5
shapo,Denis Shapovalov,Denis,Shapovalov,41,2,0.58,0.81,0.27,0.43,0.39,0.17,CAN,27,1,3,3,7
