id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
kalin1,Anhelina Kalinina,Anhelina,Kalinina,66,2,0.68,0.87,0.44,0.53,0.40,0.02,UKR,29,30,8,4,6,0
yastr,Dayana Yastremska,Dayana,Yastremska,67,2,0.62,0.87,0.39,0.49,0.40,0.03,UKR,26,7,5,6,4,0
serra,Maria Camila Osorio Serrano,Maria,Camila Osorio Serrano,68,2,0.66,0.78,0.41,0.55,0.41,0.02,COL,24,9,6,5,5,0
udvar,Panna Udvardy,Panna,Udvardy,69,2,0.54,0.94,0.40,0.45,0.52,0.05,HUN,27,14,10,4,6,1
rakhi,Kamilla Rakhimova,Kamilla,Rakhimova,70,2,0.58,0.85,0.37,0.52,0.37,0.03,UZB,24,2,5,4,6,0
ruse,Elena Gabriela Ruse,Elena,Gabriela Ruse,71,2,0.57,0.85,0.39,0.50,0.39,0.08,ROU,28,5,6,6,4,0
birre,Kimberly Birrell,Kimberly,Birrell,72,2,0.64,0.78,0.38,0.46,0.38,0.03,AUS,28,1,4,5,5,0
plisk,Karolina Pliskova,Karolina,Pliskova,73,2,0.66,0.76,0.36,0.43,0.43,0.09,CZE,34,10,4,6,4,0
bonda,Anna Bondar,Anna,Bondar,74,2,0.63,0.95,0.35,0.55,0.40,0.02,HUN,29,13,7,3,7,1
zaraz,Renata Zarazua,Renata,Zarazua,75,2,0.73,0.90,0.44,0.49,0.37,0.01,MEX,28,7,6,3,7,0
lys,Eva Lys,Eva,Lys,76,2,0.67,0.82,0.39,0.51,0.37,0.01,GER,24,3,6,3,7,0
snigu,Daria Snigur,Daria,Snigur,77,2,0.72,0.84,0.43,0.51,0.36,0.02,UKR,24,5,3,6,4,0
korpa,Tamara Korpatsch,Tamara,Korpatsch,78,2,0.61,0.87,0.45,0.50,0.38,0.02,GER,31,16,9,3,7,0
towns,Taylor Townsend,Taylor,Townsend,79,2,0.65,0.93,0.38,0.46,0.40,0.06,USA,30,4,3,5,5,0
jacqu,Elsa Jacquemot,Elsa,Jacquemot,80,2,0.50,0.80,0.39,0.63,0.26,0.05,FRA,23,5,9,3,7,1
parks,Alycia Parks,Alycia,Parks,81,2,0.53,0.81,0.33,0.45,0.41,0.13,USA,25,10,8,4,6,0
tagge,Lilli Tagger,Lilli,Tagger,82,2,0.66,0.86,0.40,0.50,0.42,0.04,AUT,18,6,7,3,7,0
karta,Sonay Kartal,Sonay,Kartal,83,2,0.75,0.90,0.43,0.48,0.38,0.01,GBR,24,0,0,6,4,0
putin,Yulia Putintseva,Yulia,Putintseva,84,2,0.74,0.92,0.44,0.47,0.43,0.04,KAZ,31,13,6,6,4,1
zakha,Anastasia Zakharova,Anastasia,Zakharova,85,2,0.69,0.83,0.38,0.49,0.37,0.01,RUS,24,4,7,5,5,0
wang1,Xiyu Wang,Xiyu,Wang,86,2,0.71,0.88,0.44,0.54,0.40,0.02,CHN,25,18,4,6,4,0
joint,Maya Joint,Maya,Joint,87,2,0.65,0.88,0.42,0.49,0.39,0.02,AUS,20,1,5,2,8,0
grach,Varvara Gracheva,Varvara,Gracheva,88,2,0.65,0.90,0.38,0.50,0.38,0.03,FRA,25,0,0,6,4,0
erjav,Veronika Erjavec,Veronika,Erjavec,89,2,0.72,0.88,0.36,0.54,0.41,0.01,SLO,26,17,10,4,6,1
walte,Simona Waltert,Simona,Waltert,90,2,0.62,0.81,0.45,0.54,0.41,0.06,SUI,25,14,10,5,5,1
selek,Oksana Selekhmeteva,Oksana,Selekhmeteva,91,2,0.52,0.51,0.34,0.44,0.38,0.03,ESP,23,4,9,3,7,1
vidma,Darja Vidmanova,Darja,Vidmanova,92,2,0.62,0.89,0.43,0.52,0.38,0.05,CZE,23,6,7,7,3,0
kraus,Sinja Kraus,Sinja,Kraus,93,2,0.61,0.89,0.43,0.61,0.40,0.02,AUT,24,15,7,5,5,1
tomlj,Ajla Tomljanovic,Ajla,Tomljanovic,94,2,0.66,0.79,0.39,0.53,0.40,0.03,AUS,33,1,7,6,4,0
timof,Maria Timofeeva,Maria,Timofeeva,95,2,0.66,0.86,0.45,0.50,0.39,0.03,UZB,22,18,5,7,3,0
maria,Tatjana Maria,Tatjana,Maria,96,2,0.57,0.95,0.36,0.47,0.36,0.10,GER,38,6,7,8,2,0
arang,Emiliana Arango,Emiliana,Arango,97,2,0.71,0.85,0.42,0.45,0.38,0.03,COL,25,8,10,4,6,1
korne,Alina Korneeva,Alina,Korneeva,98,2,0.63,0.82,0.42,0.49,0.39,0.04,RUS,19,7,5,6,4,0
tarar,Lanlana Tararudee,Lanlana,Tararudee,99,2,0.60,0.90,0.41,0.49,0.37,0.05,THA,22,0,1,4,6,0
seide,Ella Seidel,Ella,Seidel,100,2,0.59,0.86,0.41,0.48,0.39,0.04,GER,21,6,9,2,8,0
volyn,Katie Volynets,Katie,Volynets,101,2,0.77,0.91,0.45,0.52,0.37,0.01,USA,24,9,7,7,3,0
volyn1,Katie Volynets,Katie,Volynets,101,2,0.77,0.91,0.45,0.52,0.37,0.01,USA,24,9,7,7,3,0
krueg,Ashlyn Krueger,Ashlyn,Krueger,102,2,0.65,0.81,0.40,0.47,0.40,0.06,USA,22,5,5,9,1,0
vande,Hanne Vandewinkel,Hanne,Vandewinkel,103,2,0.68,0.79,0.41,0.51,0.39,0.03,BEL,22,4,7,6,4,0
semen,Darja Semenistaja,Darja,Semenistaja,104,2,0.71,0.98,0.35,0.46,0.30,0.03,LAT,23,13,11,4,6,1
kenin,Sofia Kenin,Sofia,Kenin,105,2,0.65,0.83,0.34,0.50,0.41,0.05,USA,27,2,5,2,8,0
jones,Francesca Jones,Francesca,Jones,106,2,0.58,0.87,0.42,0.50,0.44,0.04,GBR,25,10,8,4,6,1
